Student ID,Age,Gender,Gaming Hours,Study Hours,Sleep Hours,Grades
1,22,Male,7,8,6,86
2,19,Male,0,8,7,98
3,23,Female,1,9,4,90
4,20,Female,6,1,7,32
5,22,Female,5,5,5,58
6,18,Male,7,6,8,57
7,22,Female,0,7,6,94
8,23,Female,4,6,5,62
9,20,Female,4,7,8,80
10,19,Male,0,4,7,82
11,23,Female,4,2,8,52
12,23,Female,4,2,5,42
13,18,Male,1,1,7,63
14,21,Female,2,4,7,73
15,20,Male,5,1,7,37
16,17,Male,3,3,4,57
17,23,Male,6,6,5,62
18,21,Female,2,9,8,100
19,17,Male,2,8,6,91
20,20,Male,7,3,8,42
21,16,Female,7,2,5,18
22,21,Male,0,2,8,76
23,24,Female,6,9,7,100
24,16,Female,0,5,7,92
25,18,Female,0,2,5,56
26,22,Female,2,8,8,100
27,19,Female,2,4,6,75
28,24,Male,6,9,7,88
29,18,Female,5,3,4,39
30,20,Male,7,4,7,44
31,18,Female,5,5,8,69
32,22,Male,3,9,4,88
33,20,Female,5,8,7,88
34,24,Female,8,6,4,40
35,22,Female,5,3,8,42
36,17,Male,6,4,8,62
37,19,Male,7,9,5,71
38,24,Female,0,6,4,83
39,17,Female,5,8,7,74
40,24,Male,6,5,4,30
41,20,Other,7,5,6,38
42,17,Female,1,4,5,79
43,19,Male,4,7,6,86
44,22,Female,5,8,4,77
45,23,Female,1,5,4,69
46,18,Male,4,5,4,55
47,16,Male,2,4,7,74
48,19,Female,2,2,6,56
49,17,Female,3,9,5,86
50,23,Male,4,3,7,64
51,19,Female,3,8,8,99
52,17,Female,3,7,5,66
53,21,Female,2,8,8,93
54,21,Male,1,9,7,100
55,19,Female,0,6,4,78
56,21,Male,1,9,5,100
57,17,Male,4,2,6,57
58,17,Male,6,6,7,63
59,19,Female,1,7,5,85
60,23,Female,0,3,8,85
61,22,Male,5,7,7,96
62,24,Female,2,8,5,88
63,23,Male,7,8,4,54
64,20,Male,5,3,4,47
65,17,Other,2,7,6,87
66,20,Female,2,3,6,60
67,23,Male,4,7,7,77
68,24,Female,0,5,7,100
69,24,Male,0,6,5,83
70,16,Male,1,4,6,74
71,24,Female,6,2,4,35
72,22,Female,4,2,5,47
73,24,Male,0,1,7,67
74,23,Female,5,6,6,59
75,16,Female,3,8,8,91
76,23,Male,4,1,8,66
77,23,Female,1,1,7,70
78,18,Female,4,5,4,56
79,16,Female,7,7,5,70
80,23,Female,0,2,4,72
81,18,Female,2,3,7,69
82,18,Male,1,3,8,63
83,16,Female,1,4,7,84
84,20,Female,3,3,7,59
85,22,Male,6,4,8,33
86,24,Female,7,7,8,75
87,22,Female,1,6,5,84
88,24,Female,4,1,8,51
89,23,Male,5,6,7,70
90,17,Male,4,5,5,71
91,16,Female,3,9,8,108
92,22,Male,1,3,8,77
93,22,Female,3,7,6,83
94,23,Male,3,7,8,87
95,20,Male,6,2,5,28
96,18,Male,6,9,6,89
97,23,Male,1,5,4,61
98,21,Female,0,7,6,96
99,18,Male,7,2,6,26
100,16,Male,4,3,5,40
101,18,Male,6,6,7,50
102,20,Female,0,3,4,60
103,18,Male,4,5,4,52
104,16,Female,4,4,5,56
105,20,Female,6,6,6,55
106,22,Female,0,5,5,74
107,22,Female,1,1,5,53
108,24,Female,3,6,5,70
109,18,Female,6,4,4,28
110,22,Male,7,4,6,39
111,16,Male,7,1,8,25
112,19,Male,7,2,5,19
113,19,Female,0,3,7,81
114,20,Other,0,9,4,100
115,22,Female,1,4,5,87
116,22,Male,2,1,5,45
117,19,Female,6,2,8,41
118,22,Male,7,1,6,20
119,18,Male,1,6,7,100
120,21,Male,4,2,7,51
121,17,Male,7,5,4,39
122,24,Female,3,4,8,61
123,20,Male,0,8,5,95
124,21,Male,3,3,4,59
125,19,Female,3,5,5,66
126,22,Female,4,7,5,70
127,24,Female,3,4,4,65
128,22,Male,0,8,7,109
129,16,Female,7,6,5,42
130,16,Female,4,4,7,67
131,24,Male,3,5,4,59
132,24,Female,7,9,8,91
133,19,Male,1,6,4,88
134,24,Male,1,9,7,100
135,18,Female,6,2,7,32
136,22,Female,2,5,4,69
137,21,Male,6,9,4,78
138,23,Female,2,3,4,66
139,24,Female,0,9,5,105
140,20,Female,4,1,4,36
141,16,Male,1,9,7,100
142,18,Female,6,5,6,58
143,23,Male,5,1,6,38
144,21,Female,7,8,4,46
145,23,Male,6,3,8,43
146,24,Male,1,1,4,36
147,19,Female,6,2,5,27
148,16,Male,5,6,4,47
149,16,Male,5,9,4,93
150,19,Male,6,2,7,37
151,22,Female,4,5,7,67
152,17,Male,3,2,7,60
153,18,Female,5,7,6,88
154,16,Male,2,2,8,55
155,20,Male,1,3,6,75
156,16,Male,4,2,6,45
157,23,Female,1,5,5,89
158,16,Male,0,8,4,92
159,16,Male,0,5,6,87
160,17,Other,4,1,5,24
161,17,Female,2,6,6,83
162,21,Male,6,8,5,79
163,22,Male,3,2,8,65
164,20,Female,3,1,9,65
165,16,Male,3,2,5,59
166,16,Male,5,7,8,87
167,18,Female,2,6,8,91
168,17,Female,7,5,8,54
169,20,Female,7,3,5,8
170,21,Male,6,3,7,38
171,22,Male,7,9,5,76
172,19,Female,3,3,7,64
173,22,Male,4,9,7,87
174,23,Female,5,6,7,58
175,16,Female,5,2,5,38
176,21,Male,7,5,8,48
177,23,Female,5,9,6,85
178,20,Female,7,4,5,27
179,19,Female,2,8,6,99
180,17,Male,6,3,8,43
181,21,Male,5,6,8,76
182,21,Female,5,8,7,88
183,16,Male,2,9,4,86
184,24,Other,6,5,4,52
185,21,Male,7,6,4,44
186,18,Female,1,1,4,58
187,19,Male,5,3,5,47
188,19,Female,3,3,5,55
189,18,Male,7,1,4,15
190,18,Male,3,3,8,64
191,18,Male,1,3,7,76
192,19,Female,3,9,7,99
193,22,Male,5,7,5,81
194,19,Female,0,4,6,87
195,24,Female,4,9,5,84
196,16,Male,7,2,6,25
197,23,Female,6,5,7,50
198,22,Male,0,6,6,100
199,17,Other,7,1,8,10
200,23,Female,5,7,8,80
201,16,Male,1,1,6,57
202,24,Male,0,2,5,69
203,24,Male,1,2,8,72
204,17,Other,6,9,7,83
205,22,Male,0,7,7,82
206,18,Female,1,6,7,108
207,22,Male,6,6,4,44
208,24,Female,4,3,4,35
209,19,Male,6,6,4,47
210,16,Female,5,4,4,41
211,17,Female,0,2,6,61
212,16,Female,7,7,4,51
213,20,Male,1,2,8,75
214,20,Male,4,2,6,65
215,22,Male,5,8,5,85
216,24,Female,1,6,4,77
217,24,Male,7,6,6,55
218,18,Female,3,4,4,61
219,18,Male,0,4,7,79
220,18,Female,7,7,8,63
221,19,Female,4,7,6,70
222,23,Female,5,5,4,52
223,21,Male,4,9,7,108
224,23,Male,6,9,5,71
225,16,Male,0,4,5,86
226,23,Male,2,8,6,100
227,19,Female,3,5,8,79
228,16,Female,0,5,5,81
229,23,Female,5,1,8,31
230,19,Male,3,6,4,71
231,21,Female,2,9,4,92
232,23,Female,0,8,7,100
233,19,Female,5,8,4,75
234,18,Male,6,2,5,26
235,24,Male,3,4,4,49
236,18,Male,4,3,5,49
237,24,Female,1,3,5,74
238,17,Female,4,6,7,68
239,17,Male,0,4,7,81
240,17,Male,3,6,8,79
241,21,Female,5,4,7,60
242,18,Female,7,3,7,39
243,24,Male,3,1,7,59
244,19,Female,6,9,8,93
245,16,Other,4,1,5,31
246,19,Female,7,1,5,6
247,16,Male,3,8,7,94
248,20,Female,2,9,5,94
249,19,Female,7,7,8,77
250,23,Male,0,1,6,57
251,23,Female,1,3,5,71
252,22,Female,0,9,7,100
253,18,Female,6,8,5,65
254,16,Male,0,6,8,100
255,16,Female,6,3,8,48
256,18,Female,3,1,7,42
257,21,Male,0,1,4,55
258,22,Female,3,6,5,75
259,21,Female,1,1,6,66
260,21,Female,5,9,8,98
261,21,Male,5,2,4,31
262,18,Female,3,7,4,71
263,21,Male,0,2,4,58
264,23,Male,5,5,6,69
265,17,Female,6,1,8,45
266,20,Male,5,7,4,62
267,16,Female,6,6,5,40
268,16,Male,1,1,7,73
269,20,Male,7,8,8,80
270,18,Male,2,5,8,82
271,19,Other,0,9,7,100
272,18,Female,6,9,4,72
273,16,Female,7,9,5,81
274,16,Male,5,1,8,43
275,20,Male,1,2,8,74
276,21,Other,2,9,7,106
277,18,Male,3,5,7,78
